Master Index,before_after,date_diff,flight_length,label,hierarchy,fold,class,target_class,hclass,number_flights_before,source_file,Unnamed: 0,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,OAT,IAS,VSpd,NormAc,AltMSL,timestep,cluster
1939.0,1,1969-12-31 23:59:59.999999998,4979.0,intake gasket leak/damage,,0.0,10.0,10.0,0.0,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
11642.0,after,1970-01-01 00:00:00.000000003,574.0,rocker cover leak/loose/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
15298.0,1,1969-12-31 23:59:59.999999999,4932.0,oil cooler need maintenance,oil,0.0,12.0,12.0,4.0,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,before,1970-01-01 00:00:00.000000000,6510.0,intake gasket leak/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
29278.0,after,1970-01-01 00:00:00.000000002,8512.0,engine crankcase/crankshaft/firewall near repair,engine,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
26731.0,same,1970-01-01 00:00:00.000000000,341.0,baffle spring damage,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
32423.0,1,1969-12-31 23:59:59.999999999,4244.0,baffle crack/damage/loose/miss,baffle,3.0,15.0,15.0,1.0,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
9944.0,same,1970-01-01 00:00:00.000000000,434.0,rocker cover leak/loose/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
10607.0,before,1970-01-01 00:00:00.000000000,543.0,rocker cover leak/loose/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
28166.0,before,1969-12-31 23:59:59.999999998,4993.0,intake tube/bolt/seal/boot loose or damage,,,,,,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
14189.0,before,1969-12-31 23:59:59.999999999,60.0,rocker cover leak/loose/damage,,,,,,2.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
17973.0,before,1969-12-31 23:59:59.999999892,403.0,aircraft start/external issue,,,,,,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
3510.0,before,1969-12-31 23:59:59.999999999,4369.0,intake gasket leak/damage,,,,,,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
18461.0,after,1970-01-01 00:00:00.000000002,9866.0,engine/propeller overspeed or damage,engine,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
7368.0,after,1970-01-01 00:00:00.000000002,4074.0,engine run rough,engine,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
13434.0,1,1969-12-31 23:59:59.999999998,5630.0,rocker cover leak/loose/damage,,3.0,14.0,14.0,0.0,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
13043.0,before,1969-12-31 23:59:59.999999998,6745.0,rocker cover leak/loose/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
25805.0,1,1969-12-31 23:59:59.999999999,6686.0,intake gasket leak/damage,,4.0,10.0,10.0,0.0,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
32164.0,after,1970-01-01 00:00:00.000000001,6282.0,baffle crack/damage/loose/miss,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
16492.0,same,1970-01-01 00:00:00.000000000,4510.0,baffle screw miss/loose,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
12877.0,same,1970-01-01 00:00:00.000000000,465.0,rocker cover leak/loose/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
7807.0,before,1970-01-01 00:00:00.000000000,699.0,engine run rough,engine,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
21239.0,after,1970-01-01 00:00:00.000000002,7868.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
7937.0,same,1970-01-01 00:00:00.000000000,5305.0,baffle plug need repair/replace,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
14046.0,after,1970-01-01 00:00:00.000000001,5177.0,rocker cover leak/loose/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
19000.0,0,1970-01-01 00:00:00.000000001,5103.0,cylinder crack/fail/need part repair,cylinder,0.0,3.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
6086.0,before,1969-12-31 23:59:59.999999998,6699.0,intake gasket leak/damage,,,,,,2.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
25362.0,1,1969-12-31 23:59:59.999999999,5585.0,intake gasket leak/damage,,4.0,10.0,10.0,0.0,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
9198.0,0,1970-01-01 00:00:00.000000001,6037.0,rocker cover leak/loose/damage,,0.0,14.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
30091.0,before,1969-12-31 23:59:59.999999999,4558.0,baffle seal loose/damage,baffle,,,,,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
18941.0,0,1970-01-01 00:00:00.000000001,4585.0,cylinder crack/fail/need part repair,cylinder,0.0,3.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
31372.0,before,1969-12-31 23:59:59.999999996,4851.0,cylinder/exhaust push rod/tube damage,cylinder,,,,,4.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
25914.0,0,1970-01-01 00:00:00.000000001,5973.0,intake gasket leak/damage,,4.0,10.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
28101.0,after,1970-01-01 00:00:00.000000002,8933.0,intake tube/bolt/seal/boot loose or damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
1064.0,before,1969-12-31 23:59:59.999999998,6637.0,intake gasket leak/damage,,,,,,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
16250.0,before,1969-12-31 23:59:59.999999999,4683.0,baffle screw miss/loose,baffle,,,,,4.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
16932.0,same,1970-01-01 00:00:00.000000000,14.0,baffle screw miss/loose,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
31608.0,before,1969-12-31 23:59:59.999999999,4947.0,baffle crack/damage/loose/miss,baffle,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
19622.0,1,1969-12-31 23:59:59.999999999,4958.0,baffle tie/tie rod loose or damage,baffle,1.0,1.0,1.0,1.0,4.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
21505.0,before,1969-12-31 23:59:59.999999995,5676.0,intake gasket leak/damage,,,,,,4.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
11942.0,before,1969-12-31 23:59:59.999999998,4946.0,rocker cover leak/loose/damage,,,,,,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
13869.0,before,1969-12-31 23:59:59.999999999,4708.0,rocker cover leak/loose/damage,,,,,,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
22068.0,before,1969-12-31 23:59:59.999999996,12764.0,intake gasket leak/damage,,,,,,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
25271.0,before,1969-12-31 23:59:59.999999999,3840.0,intake gasket leak/damage,,,,,,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
12403.0,0,1970-01-01 00:00:00.000000001,6255.0,rocker cover leak/loose/damage,,2.0,14.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
15200.0,before,1969-12-31 23:59:59.999999999,201.0,rocker cover leak/loose/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
1457.0,after,1970-01-01 00:00:00.000000001,14.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
25888.0,same,1970-01-01 00:00:00.000000000,341.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
5780.0,same,1970-01-01 00:00:00.000000000,45.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
13386.0,1,1969-12-31 23:59:59.999999999,5305.0,rocker cover leak/loose/damage,,3.0,14.0,14.0,0.0,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
7326.0,after,1970-01-01 00:00:00.000000001,4930.0,engine run rough,engine,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
9666.0,same,1970-01-01 00:00:00.000000000,528.0,rocker cover leak/loose/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
6345.0,before,1970-01-01 00:00:00.000000000,1538.0,intake gasket leak/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
2169.0,same,1970-01-01 00:00:00.000000000,3919.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
25543.0,1,1969-12-31 23:59:59.999999999,5943.0,intake gasket leak/damage,,4.0,10.0,10.0,0.0,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
18811.0,0,1970-01-01 00:00:00.000000001,3066.0,engine seal/tube/bolt loose or damage,engine,3.0,8.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
28176.0,same,1970-01-01 00:00:00.000000000,294.0,intake tube/bolt/seal/boot loose or damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
31551.0,1,1969-12-31 23:59:59.999999998,5663.0,baffle crack/damage/loose/miss,baffle,0.0,15.0,15.0,1.0,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
28266.0,1,1969-12-31 23:59:59.999999999,4507.0,intake tube/bolt/seal/boot loose or damage,,3.0,11.0,11.0,0.0,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
4451.0,same,1970-01-01 00:00:00.000000000,341.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
28239.0,before,1969-12-31 23:59:59.999999993,10825.0,intake tube/bolt/seal/boot loose or damage,,,,,,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
14957.0,1,1969-12-31 23:59:59.999999999,6487.0,rocker cover leak/loose/damage,,4.0,14.0,14.0,0.0,2.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
829.0,1,1969-12-31 23:59:59.999999999,6052.0,intake gasket leak/damage,,0.0,10.0,10.0,0.0,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
14100.0,before,1970-01-01 00:00:00.000000000,5928.0,rocker cover leak/loose/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
28622.0,1,1969-12-31 23:59:59.999999999,4678.0,intake tube/bolt/seal/boot loose or damage,,4.0,11.0,11.0,0.0,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
30736.0,before,1969-12-31 23:59:59.999999999,4762.0,magneto failure,,,,,,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
9415.0,before,1969-12-31 23:59:59.999999998,3967.0,rocker cover leak/loose/damage,,,,,,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
30832.0,1,1969-12-31 23:59:59.999999999,10891.0,baffle rivet loose/miss/damage,baffle,0.0,17.0,17.0,1.0,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
17430.0,same,1970-01-01 00:00:00.000000000,29.0,pilot/in-flight noticed issue,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
9450.0,before,1969-12-31 23:59:59.999999998,12448.0,rocker cover leak/loose/damage,,,,,,2.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
14000.0,before,1969-12-31 23:59:59.999999999,1708.0,rocker cover leak/loose/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
4078.0,same,1970-01-01 00:00:00.000000000,465.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
6597.0,0,1970-01-01 00:00:00.000000001,11901.0,intake gasket leak/damage,,2.0,10.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
5183.0,0,1970-01-01 00:00:00.000000001,5640.0,intake gasket leak/damage,,1.0,10.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
8442.0,1,1969-12-31 23:59:59.999999999,3282.0,baffle plug need repair/replace,baffle,2.0,16.0,16.0,1.0,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
23254.0,0,1970-01-01 00:00:00.000000001,3858.0,intake gasket leak/damage,,3.0,10.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
25907.0,1,1969-12-31 23:59:59.999999998,5430.0,intake gasket leak/damage,,4.0,10.0,10.0,0.0,4.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
15052.0,before,1970-01-01 00:00:00.000000000,543.0,rocker cover leak/loose/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
21007.0,before,1969-12-31 23:59:59.999999997,5088.0,intake gasket leak/damage,,,,,,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
9260.0,before,1969-12-31 23:59:59.999999999,216.0,rocker cover leak/loose/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
9777.0,before,1969-12-31 23:59:59.999999998,6268.0,rocker cover leak/loose/damage,,,,,,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
24071.0,before,1969-12-31 23:59:59.999999993,13535.0,intake gasket leak/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
15404.0,before,1969-12-31 23:59:59.999999998,5798.0,oil cooler need maintenance,oil,,,,,4.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
16627.0,same,1970-01-01 00:00:00.000000000,29.0,baffle screw miss/loose,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
30027.0,before,1969-12-31 23:59:59.999999998,5858.0,baffle seal loose/damage,baffle,,,,,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
15375.0,after,1970-01-01 00:00:00.000000003,6410.0,oil cooler need maintenance,oil,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
8486.0,before,1969-12-31 23:59:59.999999999,92.0,baffle plug need repair/replace,baffle,,,,,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
21443.0,before,1969-12-31 23:59:59.999999999,5173.0,intake gasket leak/damage,,,,,,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
17164.0,0,1970-01-01 00:00:00.000000002,6037.0,pilot/in-flight noticed issue,,0.0,13.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
32258.0,before,1969-12-31 23:59:59.999999999,1818.0,baffle crack/damage/loose/miss,baffle,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
30290.0,before,1969-12-31 23:59:59.999999997,6595.0,baffle seal loose/damage,baffle,,,,,2.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
21950.0,0,1970-01-01 00:00:00.000000001,4776.0,intake gasket leak/damage,,3.0,10.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
32703.0,before,1969-12-31 23:59:59.999999998,278.0,baffle crack/damage/loose/miss,baffle,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
25976.0,0,1970-01-01 00:00:00.000000001,8741.0,intake gasket leak/damage,,4.0,10.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
8545.0,after,1970-01-01 00:00:00.000000001,8243.0,baffle plug need repair/replace,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
7124.0,after,1970-01-01 00:00:00.000000001,5193.0,engine need repair/reinstall/clean,engine,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
29214.0,after,1970-01-01 00:00:00.000000010,372.0,engine crankcase/crankshaft/firewall near repair,engine,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
11996.0,after,1970-01-01 00:00:00.000000004,6458.0,rocker cover leak/loose/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
15912.0,1,1969-12-31 23:59:59.999999999,4401.0,engine failure/fire/time out,engine,2.0,4.0,4.0,3.0,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
4581.0,after,1970-01-01 00:00:00.000000003,9163.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
26936.0,before,1969-12-31 23:59:59.999999999,92.0,cylinder compression issue,cylinder,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
8692.0,after,1970-01-01 00:00:00.000000009,123.0,baffle plug need repair/replace,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
12162.0,after,1970-01-01 00:00:00.000000001,2411.0,rocker cover leak/loose/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
12216.0,0,1970-01-01 00:00:00.000000001,4290.0,rocker cover leak/loose/damage,,2.0,14.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
29406.0,same,1970-01-01 00:00:00.000000000,372.0,oil return line issue,oil,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
29866.0,after,1970-01-01 00:00:00.000000003,5810.0,baffle seal loose/damage,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
6201.0,same,1970-01-01 00:00:00.000000000,294.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
18315.0,after,1970-01-01 00:00:00.000000001,5679.0,engine/propeller overspeed or damage,engine,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
14917.0,before,1970-01-01 00:00:00.000000000,496.0,rocker cover leak/loose/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
13542.0,same,1970-01-01 00:00:00.000000000,60.0,rocker cover leak/loose/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
23379.0,before,1970-01-01 00:00:00.000000000,372.0,intake gasket leak/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
17685.0,after,1970-01-01 00:00:00.000000016,3811.0,pilot/in-flight noticed issue,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
3925.0,1,1969-12-31 23:59:59.999999998,2909.0,intake gasket leak/damage,,1.0,10.0,10.0,0.0,2.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
19197.0,1,1969-12-31 23:59:59.999999998,5749.0,cylinder crack/fail/need part repair,cylinder,3.0,3.0,3.0,2.0,3.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
8547.0,same,1970-01-01 00:00:00.000000000,8044.0,baffle plug need repair/replace,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
29574.0,after,1970-01-01 00:00:00.000000002,5601.0,cylinder head/exhaust gas temperature issue,cylinder,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
22510.0,same,1970-01-01 00:00:00.000000000,76.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
20925.0,before,1969-12-31 23:59:59.999999999,5118.0,intake gasket leak/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
26576.0,same,1970-01-01 00:00:00.000000000,294.0,baffle spring damage,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
9779.0,before,1969-12-31 23:59:59.999999997,5912.0,rocker cover leak/loose/damage,,,,,,4.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
16150.0,1,1969-12-31 23:59:59.999999998,5881.0,engine failure/fire/time out,engine,4.0,4.0,4.0,3.0,1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
1334.0,after,1970-01-01 00:00:00.000000003,309.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
31163.0,after,1970-01-01 00:00:00.000000004,2769.0,induction damage/hardware fail,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
24902.0,0,1970-01-01 00:00:00.000000002,1944.0,intake gasket leak/damage,,4.0,10.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
15324.0,0,1970-01-01 00:00:00.000000001,7562.0,oil cooler need maintenance,oil,1.0,12.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
18029.0,before,1969-12-31 23:59:59.999999999,1896.0,cowling miss/loose/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
30431.0,after,1970-01-01 00:00:00.000000001,4402.0,baffle seal loose/damage,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
22005.0,same,1970-01-01 00:00:00.000000000,232.0,intake gasket leak/damage,,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
7534.0,before,1970-01-01 00:00:00.000000000,29.0,engine run rough,engine,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
28600.0,before,1969-12-31 23:59:59.999999996,12818.0,intake tube/bolt/seal/boot loose or damage,,,,,,2.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
24912.0,before,1969-12-31 23:59:59.999999996,3872.0,intake gasket leak/damage,,,,,,2.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
16440.0,after,1970-01-01 00:00:00.000000001,5784.0,baffle screw miss/loose,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
16954.0,0,1970-01-01 00:00:00.000000001,5315.0,baffle screw miss/loose,baffle,4.0,18.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
16053.0,after,1970-01-01 00:00:00.000000001,152.0,engine failure/fire/time out,engine,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
16610.0,after,1970-01-01 00:00:00.000000001,6108.0,baffle screw miss/loose,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
21677.0,before,1970-01-01 00:00:00.000000000,481.0,intake gasket leak/damage,,,,,,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
10703.0,1,1969-12-31 23:59:59.999999998,5102.0,rocker cover leak/loose/damage,,1.0,14.0,14.0,0.0,0.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
6930.0,0,1970-01-01 00:00:00.000000001,7551.0,engine need repair/reinstall/clean,engine,0.0,6.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
28437.0,0,1970-01-01 00:00:00.000000001,6252.0,intake tube/bolt/seal/boot loose or damage,,3.0,11.0,0.0,0.0,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
19846.0,after,1970-01-01 00:00:00.000000001,6805.0,baffle tie/tie rod loose or damage,baffle,,,,,-1.0,flight_header.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
